Policy Path,Policy Name,Policy State,Policy Value,Registry Path,Registry Value Name,Registry Data Value,Applicable Client,Applicable Server,Required for Applicable OS
Computer Configuration > System > Device Installation > Device Installation Restrictions,Prevent installation of devices that match any of these Device IDs > Prevent installation of devices that match any of these Device IDs:,Enabled,PCI\CC_0C0A,HKLM\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions,DenyDeviceIDs,1,Windows Vista+,Windows Server 2008+,Yes
Computer Configuration > System > Device Installation > Device Installation Restrictions,Prevent installation of devices that match any of these Device IDs > Prevent installation of devices that match any of these Device IDs:,Enabled, ,HKLM\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions,DenyDeviceIDsRetroactive,1,Windows Vista+,Windows Server 2008+,Yes
Computer Configuration > System > Device Installation > Device Installation Restrictions,Prevent installation of devices using drivers that match these device setup classes > Prevent installation of devices using drivers that match these device setup classes:,Enabled,{d48179be-ec20-11d1-b6b8-00c04fa372a7},HKLM\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions,DenyDeviceClasses,1,Windows Vista+,Windows Server 2008+,Yes
Computer Configuration > System > Device Installation > Device Installation Restrictions,Prevent installation of devices using drivers that match these device setup classes > Prevent installation of devices using drivers that match these device setup classes:,Enabled, ,HKLM\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions,DenyDeviceClassesRetroactive,1,Windows Vista+,Windows Server 2008+,Yes
Computer Configuration > System > Power Management > Sleep Settings,Allow standby states (S1-S3) when sleeping (on battery),Disabled, ,HKLM\Software\Policies\Microsoft\Power\PowerSettings\abfc2519-3608-4c2a-94ea-171b0ed546ab,DCSettingIndex,0,Windows Vista+,Windows Server 2008+,Yes
Computer Configuration > System > Power Management > Sleep Settings,Allow standby states (S1-S3) when sleeping (plugged in),Disabled, ,HKLM\Software\Policies\Microsoft\Power\PowerSettings\abfc2519-3608-4c2a-94ea-171b0ed546ab,ACSettingIndex,0,Windows Vista+,Windows Server 2008+,Yes
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption,Store BitLocker recovery information in Active Directory Domain Services (Windows Server 2008 and Windows Vista), Enabled, ,HKLM\Software\Policies\Microsoft\FVE,ActiveDirectoryBackup,1,Yes,Yes,Yes (domain joined systems only)
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption,Store BitLocker recovery information in Active Directory Domain Services (Windows Server 2008 and Windows Vista) > Require BitLocker backup to AD DS,Enabled, ,HKLM\Software\Policies\Microsoft\FVE,RequireActiveDirectoryBackup,1,Yes,Yes,Yes (domain joined systems only)
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption,Store BitLocker recovery information in Active Directory Domain Services (Windows Server 2008 and Windows Vista) > Select BitLocker recovery information to store,Recovery passwords only, ,HKLM\Software\Policies\Microsoft\FVE,RequireActiveDirectoryBackup,1,Yes,Yes,Yes (domain joined systems only)
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption,Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later) > Select the encryption method for operating system drives,Enabled,XTS-AES 256-bit,HKLM\Software\Policies\Microsoft\FVE,EncryptionMethodWithXtsOs,7,Windows 10 1511+,Windows Server 2016+,Yes
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption,Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later) > Select the encryption method for fixed data drives,Enabled,XTS-AES 256-bit,HKLM\Software\Policies\Microsoft\FVE,EncryptionMethodWithXtsFdv,7,Windows 10 1511+,Windows Server 2016+,No
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption,Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later) > Select the encryption method for removable data drives,Enabled,XTS-AES 256-bit *or* AES-CBC 256-bit,HKLM\Software\Policies\Microsoft\FVE,EncryptionMethodWithXtsRdv,4 *or* 7,Windows 10 1511+,Windows Server 2016+,No
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption,"Choose drive encryption method and cipher strength (Windows 8, Windows Server 2012, Windows 8.1, Windows Server 2012 R2, Windows 10 [Version 1507]) > Select encryption method",Enabled,AES 256-bit,HKLM\Software\Policies\Microsoft\FVE,EncryptionMethodNoDiffuser,4,Windows 8 - Windows 10 1507,Windows Server 2012 - Windows Server 2012 R2,Yes
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption,"Choose drive encryption method and cipher strength (Windows Vista, Windows Server 2008, Windows 7, Windows Server 2008 R2) > Select encryption method",Enabled,AES 256-bit,HKLM\Software\Policies\Microsoft\FVE,EncryptionMethod,2,Windows Vista - Windows 7,Windows Server 2008 - Windows Server 2008 R2,Yes
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption,Disable new DMA devices when this computer is locked,Enabled, ,HKLM\Software\Policies\Microsoft\FVE,DisableExternalDMAUnderLock,1,Windows 10 1703+,N/A,Yes
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption > Operating System Drives,Allow Secure Boot for integrity validation,Enabled *or* Not Configured, ,HKLM\Software\Policies\Microsoft\FVE,OSAllowSecureBootForIntegrity *or* not exist,1 *or* not exist,Windows 8+,Windows Server 2012+,No